timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1641445064.002,-33.203,-33.203,38.086,-42.969,0.000,0
1641445063.995,97.168,1.465,73.242,105.469,0.000,0
1641445063.999,-112.793,-55.176,0.488,-95.215,0.000,0
1641445064.003,-253.906,-85.449,-34.180,-248.535,0.000,0
1641445064.008,-105.957,-47.852,20.508,-118.164,0.000,0
1641445064.012,88.379,-2.441,91.797,76.172,0.000,0
1641445064.016,-42.480,-40.039,50.781,-31.738,0.000,0
1641445064.020,-235.352,-84.961,-24.414,-219.238,0.000,0
1641445064.024,-160.645,-66.895,-3.418,-170.410,0.000,0
1641445064.028,59.570,-18.555,45.410,45.410,0.000,0
1641445064.032,1.953,-33.691,28.809,21.484,0.000,0
1641445064.037,-222.168,-86.914,-12.695,-206.055,0.000,0
1641445064.041,-218.750,-80.078,-17.090,-218.262,0.000,0
1641445064.035,-3.906,-24.902,38.574,-16.113,0.000,0
1641445064.039,63.965,-4.883,72.754,60.547,0.000,0
1641445064.043,-165.039,-64.941,12.207,-155.762,0.000,0
1641445064.047,-230.469,-90.332,-23.438,-243.652,0.000,0
1641445064.051,-45.410,-44.922,17.090,-69.824,0.000,0
1641445064.055,97.656,-1.953,67.383,88.379,0.000,0
1641445064.059,-97.168,-46.387,16.113,-86.426,0.000,0
1641445064.063,-248.047,-82.031,-32.715,-231.934,0.000,0
1641445064.067,-124.023,-58.105,-4.395,-127.441,0.000,0
1641445064.072,77.637,-9.766,56.152,74.219,0.000,0
1641445064.076,-43.945,-23.926,34.180,-36.621,0.000,0
1641445064.080,-237.793,-77.637,-23.926,-251.465,0.000,0
1641445064.075,-161.621,-69.336,-11.719,-199.219,0.000,0
1641445064.079,60.059,-7.812,56.152,20.508,0.000,0
1641445064.083,33.203,-3.906,60.547,23.926,0.000,0
1641445064.087,-195.312,-60.059,-12.207,-202.637,0.000,0
1641445064.091,-204.102,-71.289,-54.199,-232.910,0.000,0
1641445064.095,-0.488,-23.438,-6.836,-25.391,0.000,0
1641445064.099,77.148,11.719,69.824,73.242,0.000,0
1641445064.103,-154.297,-44.434,22.949,-157.227,0.000,0
1641445064.107,-233.398,-86.914,-29.785,-239.258,0.000,0
1641445064.111,-49.316,-43.457,14.160,-68.359,0.000,0
1641445064.115,111.816,19.531,86.914,83.496,0.000,0
1641445064.119,-69.824,-27.344,39.062,-70.801,0.000,0
1641445064.115,-228.027,-82.520,-23.438,-228.516,0.000,0
1641445064.119,-111.816,-48.828,-4.883,-137.695,0.000,0
1641445064.123,98.633,17.578,53.711,69.824,0.000,1
1641445064.127,-12.207,-15.625,38.574,-13.672,0.000,0
1641445064.131,-218.750,-78.125,-23.438,-222.656,0.000,0
1641445064.135,-164.551,-67.383,-29.297,-187.500,0.000,0
1641445064.139,38.086,-7.812,41.504,26.855,0.000,0
1641445064.143,37.598,-10.254,62.012,47.852,0.000,0
1641445064.147,-196.777,-87.891,-4.883,-187.012,0.000,0
1641445064.151,-231.934,-81.055,-14.160,-236.816,0.000,0
1641445064.155,-23.926,-13.672,33.691,-55.664,0.000,0
1641445064.159,82.031,11.230,69.824,65.918,0.000,0
1641445064.155,-134.277,-44.434,4.883,-123.535,0.000,0
1641445064.159,-230.469,-73.730,-41.504,-235.352,0.000,0
1641445064.163,-77.148,-36.133,13.672,-101.074,0.000,0
1641445064.167,86.914,8.789,80.566,83.984,0.000,0
1641445064.171,-79.102,-32.715,26.855,-53.223,0.000,0
1641445064.175,-248.535,-85.449,-27.832,-235.352,0.000,0
1641445064.179,-140.137,-54.688,9.766,-146.484,0.000,0
1641445064.183,70.801,-6.348,68.848,70.801,0.000,0
1641445064.187,-20.996,-30.273,38.574,5.371,0.000,0
1641445064.191,-238.770,-70.312,-20.508,-217.285,0.000,0
1641445064.195,-192.871,-64.453,-19.043,-195.801,0.000,0
1641445064.199,32.227,-20.508,47.363,16.602,0.000,0
1641445064.196,54.688,-9.766,67.383,62.500,0.000,0
1641445064.200,-182.129,-62.012,-15.625,-163.086,0.000,0
1641445064.204,-224.121,-80.566,-37.109,-227.539,0.000,0
1641445064.208,-38.574,-31.250,27.344,-61.523,0.000,0
1641445064.212,89.844,16.602,71.777,71.289,0.000,0
1641445064.216,-112.305,-36.621,6.348,-123.535,0.000,0
1641445064.220,-240.234,-83.008,-40.527,-256.348,0.000,0
1641445064.224,-90.332,-46.387,-11.719,-104.004,0.000,0
1641445064.228,89.355,12.695,40.039,88.379,0.000,0
1641445064.232,-54.199,-21.973,20.508,-53.711,0.000,0
1641445064.236,-238.281,-85.938,-19.043,-246.582,0.000,0
1641445064.240,-146.973,-68.359,-3.906,-169.434,0.000,0
1641445064.237,76.660,4.395,69.336,56.641,0.000,0
1641445064.241,1.465,-1.465,65.430,24.902,0.000,0
1641445064.245,-225.098,-67.383,-25.879,-197.754,0.000,0
1641445064.249,-204.102,-73.730,-34.668,-200.684,0.000,0
1641445064.253,5.371,-16.602,32.227,6.836,0.000,0
1641445064.257,56.152,6.348,58.105,87.402,0.000,0
1641445064.261,-164.551,-57.129,-37.109,-134.766,0.000,0
