timestamps,TP9,AF7,AF8,TP10,Right AUX
1637814693.867,635.254,395.996,-308.594,-857.910,0.000,0
1637814693.871,-971.191,-950.684,464.355,-1000.000,0.000,0
1637814693.875,-989.746,-970.215,440.918,-1000.000,0.000,0
1637814693.879,-167.969,-14.160,-527.344,291.504,0.000,0
1637814693.883,-1000.000,-1000.000,-1000.000,994.629,0.000,0
1637814693.887,275.391,114.746,-413.086,-568.848,0.000,0
1637814693.891,-942.383,-954.102,454.590,-1000.000,0.000,0
1637814693.895,-965.820,-948.730,546.387,-1000.000,0.000,0
1637814693.899,26.367,183.105,-409.180,17.578,0.000,0
1637814693.903,-1000.000,-1000.000,-1000.000,-831.055,0.000,0
1637814693.906,52.734,-119.629,-526.855,-247.070,0.000,0
1637814693.906,-963.379,-982.422,332.520,-1000.000,0.000,0
1637814693.910,-940.918,-927.246,568.848,-1000.000,0.000,0
1637814693.914,235.840,228.516,-268.555,-178.711,0.000,0
1637814693.918,-1000.000,-1000.000,-1000.000,-821.777,0.000,0
1637814693.922,-159.180,-203.613,-630.859,-45.898,0.000,0
1637814693.926,-985.840,-997.070,299.316,-1000.000,0.000,0
1637814693.930,-924.805,-917.969,633.301,-1000.000,0.000,0
1637814693.934,226.074,223.145,-132.812,-270.996,0.000,0
1637814693.938,-1000.000,-1000.000,-1000.000,-825.195,0.000,0
1637814693.941,-203.613,-196.777,-773.926,170.410,0.000,0
1637814693.945,-998.047,995.605,133.301,-1000.000,0.000,0
1637814693.949,-918.457,-922.852,654.785,-1000.000,0.000,0
1637814693.949,222.656,366.211,-87.402,-256.348,0.000,0
1637814693.953,-1000.000,-1000.000,-1000.000,-830.078,0.000,0
1637814693.957,-194.336,-316.895,-805.176,165.039,0.000,0
1637814693.961,992.188,964.355,54.199,-1000.000,0.000,0
1637814693.965,-925.781,-929.688,650.391,-1000.000,0.000,0
1637814693.969,425.293,544.434,10.742,-355.469,0.000,0
1637814693.973,-1000.000,-1000.000,-1000.000,-863.770,0.000,0
